Comtrade_No,Comtrade_name,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
192,Cuba,1713000000,1785000000,1633000000,1324000000,1327000000,1346000000,1401000000,1567000000,1704700000,1805300000,1707200000,1625700000,1631000000,1736000000,1825000000,1659000000,1580000000
196,Cyprus,1207000000,1157000000,1398000000,1369000000,1438000000,1637000000,1689000000,1805000000,1786488000,1872531000,1870000000,1480843000,1329000000,1207000000,1026000000,855000000,735000000
203,Czechia,4604000000,4241000000,4093000000,3550000000,3217000000,3465000000,3829000000,3978000000,4238818000,4898530000,4710000000,3637000000,3379000000,3931000000,3434000000,3211000000,3691000000
208,Denmark,2528000000,1926000000,2009000000,2010000000,2028000000,1953000000,2150000000,2120000000,2937000000,2871000000,2539000000,1578000000,1553000000,1811000000,1798000000,1830000000,1876000000
262,Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150000000,350000000
214,Dominican Rep.,1885000000,2945000000,3122000000,2976000000,3050000000,2907000000,2654000000,2779000000,3776798000,4100000000,4000000000,3000000000,4106000000,3997000000,4130000000,4246000000,4800000000
218,Ecuador,2600000000,2300000000,2800000000,2850000000,3000000000,3100000000,3000000000,3000000000,4110000000,4420000000,5493000000,5000000000,5287000000,5706000000,6025000000,6670000000,6600000000
818,Egypt,21000000000,23313000000,24143000000,24500000000,28155000000,26639000000,28763000000,29000000000,36100000000,38469000000,39844000000,46500000000,44592000000,43384000000,55200000000,50000000000,49000000000
222,El Salvador,1065000000,1031000000,1064000000,1174000000,1323000000,1391000000,1265000000,1131000000,1311000000,1300000000,1300000000,1212000000,1290000000,1320000000,1380000000,1200000000,1000000000
232,Eritrea,45000000,45000000,45000000,45000000,45000000,45000000,45000000,45000000,45000000,45000000,45000000,45000000,45000000,190000000,260000000,260000000,300000000
233,Estonia,321000000,358000000,329000000,405000000,466000000,506000000,615000000,650000000,848900000,937400000,808000000,326200000,375000000,451000000,482000000,457000000,447000000
231,Ethiopia,750000000,638000000,880000000,950000000,900000000,1130000000,1316000000,1568000000,1731000000,1625560000,1834000000,2300000000,1639000000,2082000000,3500000000,5000000000,5400000000
242,Fiji,90000000,95000000,95000000,95000000,111000000,120000000,120000000,143000000,143000000,145000000,143000000,110000000,163000000,170000000,150000000,181000000,190000000
246,Finland,1098000000,1310000000,1422000000,1325000000,1198000000,1493000000,1295000000,1357000000,1684507000,1742534000,1745000000,1052226000,1215000000,1387000000,1293000000,1300000000,1250000000
251,France,19500000000,20219000000,20137000000,19839000000,19437000000,19655000000,20962000000,21277000000,22540000000,22300000000,21700000000,18300000000,17733000000,19270000000,17810000000,18018000000,17000000000
254,French Guiana,88000000,88000000,88000000,58000000,62000000,60000000,60000000,60000000,62000000,62000000,62000000,62000000,89000000,90000000,100000000,92000000,86000000
266,Gabon,196000000,180000000,210000000,210000000,257000000,260000000,260000000,260000000,260000000,228601000,230000000,230000000,223000000,226000000,200000000,170000000,170000000
268,Georgia,200000000,342000000,348000000,300000000,347000000,345000000,425000000,450000000,450000000,450000000,450000000,870368000,857000000,1502000000,1546000000,1619000000,1626000000
276,Germany,36610000000,35912000000,34727000000,30989000000,31009000000,32749000000,31854000000,30629000000,33630000000,33382000000,33581000000,30441000000,29203000000,33540000000,32432000000,31308000000,32099000000
288,Ghana,1630000000,1870000000,1950000000,1900000000,1900000000,1900000000,1900000000,1900000000,1800000000,1800000000,1800000000,1800000000,2100000000,2500000000,3000000000,3000000000,3000000000
300,Greece,15000000000,13908000000,14530000000,15000000000,14282000000,14638000000,15039000000,15166000000,15674000000,16666666000,16500000000,16000000000,9268000000,5553000000,5005000000,5990000000,5128000000
312,Guadeloupe,230000000,230000000,230000000,230000000,230000000,230000000,230000000,230000000,230000000,230000000,230000000,230000000,300000000,300000000,300000000,300000000,300000000
320,Guatemala,1500000000,1600000000,1600000000,1600000000,2000000000,2000000000,2200000000,2400000000,2400000000,2500000000,2500000000,1500000000,2794000000,2850000000,2880000000,2970000000,3500000000
324,Guinea,277000000,297000000,300000000,300000000,360000000,360000000,360000000,360000000,0,0,0,0,237000000,365000000,317000000,377000000,500000000
328,Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000
332,Haiti,0,0,0,204000000,290000000,290000000,300000000,300000000,290000000,290000000,290000000,290000000,300000000,300000000,300000000,300000000,300000000
340,Honduras,896000000,980000000,1100000000,1100000000,1224000000,1268000000,1392000000,1384000000,1668000000,1776000000,1784000000,1800000000,1600000000,1620000000,1730000000,1700000000,1700000000
344,"China, Hong Kong SAR",1539000000,1387000000,1284000000,1300000000,1206000000,1189000000,1039000000,1005000000,1010000000,1000000000,1000000000,1000000000,1461000000,1537000000,1675000000,1768000000,1900000000
348,Hungary,2999000000,2979000000,3326000000,3452000000,3510000000,3573000000,3349000000,3371000000,3724153000,3551746000,3544000000,3200000000,2136000000,1694000000,1870000000,2022000000,2100000000
352,Iceland,118000000,131000000,144000000,125000000,83000000,90000000,90000000,95000000,141433000,140000000,138000000,138000000,140000000,140000000,0,0,0
699,India,85000000000,90000000000,95000000000,1E+11,1.15E+11,1.23E+11,1.3E+11,1.45E+11,1.6E+11,1.7E+11,1.85E+11,2.05E+11,2.2E+11,2.4E+11,2.7E+11,2.8E+11,2.75E+11
360,Indonesia,22341000000,23925000000,27789000000,31300000000,34640000000,35500000000,33230000000,33917000000,35000000000,36000000000,36000000000,22195000000,39480000000,45238000000,52350000000,56690000000,58000000000
364,Iran,21300000000,22080000000,23880000000,26650000000,28600000000,30460000000,32198000000,32650000000,35300000000,41000000000,44400000000,50000000000,61000000000,66000000000,70250000000,68700000000,66000000000
368,Iraq,2000000000,2000000000,2000000000,2000000000,6834000000,1901000000,2500000000,3000000000,3500000000,4500000000,6453000000,8500000000,8000000000,10000000000,10000000000,12000000000,13000000000
372,Ireland,2000000000,2466000000,2620000000,2600000000,3320000000,3830000000,5000000000,5083000000,4981000000,4700000000,3900000000,2600000000,2379000000,2103000000,1198000000,2000000000,2000000000
376,Israel,6476000000,6354000000,6600000000,6900000000,4584000000,4632000000,4494000000,5093000000,5088880000,5000000000,4818500000,4759000000,5139000000,5480000000,5892000000,6398000000,6603000000
381,Italy,35512000000,37299000000,38925000000,39804000000,41722000000,43580000000,45343000000,40284000000,47814000000,47541637000,43029921000,36317000000,34408000000,33120000000,26240000000,23100000000,21400000000
388,Jamaica,558000000,504000000,521000000,596000000,614000000,608000000,808000000,845000000,760815000,591967000,724528000,736500000,723000000,766000000,760000000,825000000,830000000
392,Japan,81328000000,80120000000,81097000000,76550000000,71828000000,68766000000,67376000000,69629000000,69942000000,67685000000,62810000000,54800000000,51526000000,51291000000,54737000000,57962000000,57913000000
400,Jordan,2650000000,2687000000,2640000000,3173000000,3558000000,3515000000,3908000000,4046000000,3967400000,4138000000,4284000000,3799000000,3929000000,2816000000,4060000000,4200000000,4500000000
398,Kazakhstan,600000000,838000000,1175000000,2029000000,2129000000,2570000000,3662000000,3975000000,4880200000,5698600000,5837300000,5694100000,6686000000,7642000000,7050000000,7072000000,7977000000
404,Kenya,1426000000,1204000000,1146000000,1085000000,1463000000,1658000000,1789000000,2123000000,2174090000,2545661000,2828799000,3320282000,3710000000,4478000000,4640000000,5059000000,5583000000
408,Dem. People's Rep. of Korea,3200000000,4000000000,4000000000,5160000000,5320000000,5540000000,5630000000,5700000000,6160000000,6130000000,6415000000,6400000000,6100000000,6300000000,6500000000,7100000000,7200000000
410,Rep. of Korea,46091000000,48157000000,51255000000,52046000000,55514000000,59194000000,54330000000,51391000000,53971000000,52182000000,51653000000,50127000000,47420000000,48249000000,46862000000,47291000000,47048000000
414,Kuwait,1345000000,1435000000,1540000000,1600000000,1584000000,1863000000,2635000000,2145000000,2200000000,2200000000,2600000000,2000000000,2000000000,2250000000,2400000000,3000000000,3800000000
417,Kyrgyzstan,709000000,386000000,500000000,469000000,533000000,757000000,870000000,900000000,1059900000,1229500000,1218100000,579400000,760000000,1022000000,1239000000,1675000000,1727000000
418,Lao People's Dem. Rep.,80000000,80000000,92000000,92000000,240000000,250000000,250000000,250000000,400000000,400000000,400000000,400000000,1200000000,1300000000,1500000000,1500000000,2400000000
